ts,symbol,rate
2026-07-23T11:42+00:00,ACE/USDT:USDT,-0.00059003
2026-07-23T11:42+00:00,ID/USDT:USDT,-8.912e-05
2026-07-23T11:42+00:00,HIMS/USDT:USDT,0.0
2026-07-23T11:42+00:00,AIOT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ATOM/USDT:USDT,-0.00026052
2026-07-23T11:42+00:00,GRT/USDT:USDT,-8.785e-05
2026-07-23T11:42+00:00,MON/USDT:USDT,5e-05
2026-07-23T11:42+00:00,KLAC/USDT:USDT,0.0
2026-07-23T11:42+00:00,RDNT/USDT:USDT,0.0
2026-07-23T11:42+00:00,BAND/USDT:USDT,0.0001
2026-07-23T11:42+00:00,CYS/USDT:USDT,0.00014256
2026-07-23T11:42+00:00,ORDER/USDT:USDT,5e-05
2026-07-23T11:42+00:00,IREN/USDT:USDT,0.0
2026-07-23T11:42+00:00,DGB/USDT:USDT,0.0
2026-07-23T11:42+00:00,BULLA/USDT:USDT,0.00052577
2026-07-23T11:42+00:00,ALICE/USDT:USDT,-0.00044957
2026-07-23T11:42+00:00,CETUS/USDT:USDT,-5.896e-05
2026-07-23T11:42+00:00,NAORIS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,XLM/USDT:USDT,-0.00020725
2026-07-23T11:42+00:00,B2/USDT:USDT,5e-05
2026-07-23T11:42+00:00,1000SATS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,APT/USDT:USDT,5.401e-05
2026-07-23T11:42+00:00,HEI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,EBAY/USDT:USDT,0.0
2026-07-23T11:42+00:00,DEGO/USDT:USDT,0.0
2026-07-23T11:42+00:00,ICNT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NVO/USDT:USDT,0.0
2026-07-23T11:42+00:00,ENA/USDT:USDT,5e-05
2026-07-23T11:42+00:00,OMG/USDT:USDT,0.0
2026-07-23T11:42+00:00,ETHFI/USDC:USDC,5e-05
2026-07-23T11:42+00:00,HOLO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ORDI/USDC:USDC,5e-05
2026-07-23T11:42+00:00,NOK/USDT:USDT,0.00015017
2026-07-23T11:42+00:00,SAPIEN/USDT:USDT,5e-05
2026-07-23T11:42+00:00,CFG/USDT:USDT,-8.62e-06
2026-07-23T11:42+00:00,DYDX/USDT:USDT,0.0001
2026-07-23T11:42+00:00,ETH/BTC:BTC,0.0
2026-07-23T11:42+00:00,SENT/USDT:USDT,-0.00028493
2026-07-23T11:42+00:00,MOODENG/USDT:USDT,-0.000117
2026-07-23T11:42+00:00,STXX/USDT:USDT,-0.0034487
2026-07-23T11:42+00:00,GAIB/USDT:USDT,0.0
2026-07-23T11:42+00:00,BMT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SIREN/USDT:USDT,0.00020521
2026-07-23T11:42+00:00,C/USDT:USDT,3.4e-06
2026-07-23T11:42+00:00,POWR/USDT:USDT,5e-05
2026-07-23T11:42+00:00,GEV/USDT:USDT,-0.00018249
2026-07-23T11:42+00:00,AVNT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ME/USDT:USDT,-0.00021811
2026-07-23T11:42+00:00,MAV/USDT:USDT,0.0001
2026-07-23T11:42+00:00,GPS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,PORT3/USDT:USDT,0.0
2026-07-23T11:42+00:00,CBRS/USDT:USDT,-0.00012357
2026-07-23T11:42+00:00,MINA/USDT:USDT,2.595e-05
2026-07-23T11:42+00:00,HBAR/USDT:USDT,0.0001
2026-07-23T11:42+00:00,LRCX/USDT:USDT,0.0
2026-07-23T11:42+00:00,APE/USDT:USDT,0.0001
2026-07-23T11:42+00:00,XBI/USDT:USDT,0.0
2026-07-23T11:42+00:00,ASTR/USDT:USDT,0.0001
2026-07-23T11:42+00:00,EDU/USDT:USDT,0.0001
2026-07-23T11:42+00:00,DRAM/USDT:USDT,0.0
2026-07-23T11:42+00:00,HK0700/USDT:USDT,0.00021523
2026-07-23T11:42+00:00,ONG/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SPY/USDT:USDT,0.0
2026-07-23T11:42+00:00,BLESS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SKYAI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,NEAR/USDC:USDC,5.68e-06
2026-07-23T11:42+00:00,OPG/USDT:USDT,5e-05
2026-07-23T11:42+00:00,TZA/USDT:USDT,0.0
2026-07-23T11:42+00:00,ZAMA/USDT:USDT,-0.00036858
2026-07-23T11:42+00:00,POPCAT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,PNUT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,OPEN/USDT:USDT,5e-05
