ts,wallet,title,outcome,entry,won,pnl
2026-07-24T12:48+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Tampere: Gauthier Onclin vs Tom Gentzsch,Gauthier Onclin,0.9995,1,0.03
2026-07-24T12:48+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Zug: Philip Henning vs Thiago Seyboth Wild,Thiago Seyboth Wild,0.9995,1,0.03
2026-07-24T12:48+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Inter Miami CF win on 2026-07-25?,No,0.545,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Hamburg European Open: Mayar Sherif vs Paula Badosa,Paula Badosa,0.355,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Generali Open: Alexander Bublik vs Tomas Etcheverry,Tomas Etcheverry,0.365,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Estoril Open: Jaime Faria vs Luciano Darderi,Jaime Faria,0.365,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Estoril Open: Tiago Torres vs Hugo Gaston,Hugo Gaston,0.905,1,5.25
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,LoL: EDward Gaming vs Bilibili Gaming - Game 1 Winner,EDward Gaming,0.315,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Seinajoen JK win on 2026-07-24?,No,0.5649,1,38.51
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Heart of Midlothian FC win on 2026-07-28?,Yes,0.515,0,-50.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Zug: Harold Mayot vs Dylan Dietrich,Dylan Dietrich,0.625,1,30.0
2026-07-24T12:48+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will CF Montréal vs. Inter Miami CF end in a draw?,Yes,0.225,0,-50.0
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Winnipeg: Yu-Hsiou Hsu vs Toby Samuel,Toby Samuel,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Winnipeg: Shintaro Mochizuki vs Johannus Monday,Shintaro Mochizuki,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Montevideo City Torque win on 2026-07-24?,Yes,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Racing Club win on 2026-07-24?,Yes,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Bloomfield Hills: Alex Michelsen vs Mark Lajal,Alex Michelsen,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Racing Club (-1.5),Gimnasia y Esgrima de La Plata,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will CA Vélez Sarsfield win on 2026-07-24?,Yes,0.9995,1,0.03
2026-07-25T00:18+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Instituto AC Córdoba win on 2026-07-24?,No,0.9995,1,0.03
