ts,key,kalshi,poly_q,kalshi_parse,poly_parse,confidence,kalshi_bid,kalshi_ask,poly_bid,poly_ask,basis_sell_kalshi,basis_sell_poly,best_basis
2026-09-01T01:20:27+00:00,C|BTC|up|92500.0,KXBTCMAXMON-BTC-26AUG31-9250000,"Will Bitcoin reach $92,500 in August?",BTC|up|92500.0|2026-08-31,BTC|up|92500.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|BTC|up|95000.0,KXBTCMAXMON-BTC-26AUG31-9500000,"Will Bitcoin reach $95,000 in August?",BTC|up|95000.0|2026-08-31,BTC|up|95000.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|BTC|up|85000.0,KXBTCMAXMON-BTC-26AUG31-8500000,"Will Bitcoin reach $85,000 on August 31?",BTC|up|85000.0|2026-08-31,BTC|up|85000.0|2026-09-01,deadline_1d,0.0,0.01,,0.006,,,
2026-09-01T01:20:27+00:00,C|BTC|down|55000.0,KXBTCMINY-27JAN01-55000.00,"Will Bitcoin dip to $55,000 by December 31, 2026?",BTC|down|55000.0|2027-01-01,BTC|down|55000.0|2026-12-31,deadline_1d,0.27,0.28,0.22,0.23,0.04,-0.06,0.04
2026-09-01T01:20:27+00:00,C|BTC|down|45000.0,KXBTCMINY-27JAN01-45000.00,"Will Bitcoin dip to $45,000 by December 31, 2026?",BTC|down|45000.0|2027-01-01,BTC|down|45000.0|2026-12-31,deadline_1d,0.14,0.15,0.08,0.09,0.05,-0.07,0.05
2026-09-01T01:20:27+00:00,C|BTC|down|50000.0,KXBTCMINY-27JAN01-50000.00,"Will Bitcoin dip to $50,000 by December 31, 2026?",BTC|down|50000.0|2027-01-01,BTC|down|50000.0|2026-12-31,deadline_1d,0.18,0.19,0.14,0.15,0.03,-0.05,0.03
2026-09-01T01:20:27+00:00,C|BTC|down|40000.0,KXBTCMINY-27JAN01-40000.00,"Will Bitcoin dip to $40,000 by December 31, 2026?",BTC|down|40000.0|2027-01-01,BTC|down|40000.0|2026-12-31,deadline_1d,0.09,0.1,0.05,0.07,0.02,-0.05,0.02
2026-09-01T01:20:27+00:00,C|SOL|down|70.0,KXSOLMINMON-SOL-26AUG31-7000,Will Solana dip to $70 in August?,SOL|down|70.0|2026-08-31,SOL|down|70.0|2026-09-01,deadline_1d,0.0,0.02,,0.001,,,
2026-09-01T01:20:27+00:00,C|SOL|down|60.0,KXSOLMINMON-SOL-26AUG31-6000,Will Solana dip to $60 in August?,SOL|down|60.0|2026-08-31,SOL|down|60.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|SOL|down|50.0,KXSOLMINMON-SOL-26AUG31-5000,Will Solana dip to $50 in August?,SOL|down|50.0|2026-08-31,SOL|down|50.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|SOL|down|40.0,KXSOLMINMON-SOL-26AUG31-4000,Will Solana dip to $40 in August?,SOL|down|40.0|2026-08-31,SOL|down|40.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|ETH|down|1250.0,KXETHMINY-27JAN01-1250,"Will Ethereum dip to $1,250 by December 31, 2026?",ETH|down|1250.0|2027-01-01,ETH|down|1250.0|2026-12-31,deadline_1d,0.18,0.19,0.09,0.1,0.08,-0.1,0.08
2026-09-01T01:20:27+00:00,C|ETH|up|6000.0,KXETHMAXY-27JAN01-6000.00,"Will Ethereum reach $6,000 by December 31, 2026?",ETH|up|6000.0|2027-01-01,ETH|up|6000.0|2026-12-31,deadline_1d,0.03,0.04,0.031,0.043,-0.013,-0.009,-0.009
