ts,wallet,title,outcome,size,curPrice,paper_stake
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Houston Dash win on 2026-07-24?,Yes,15743.6963,0.355,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Hammarby Fotboll win on 2026-07-23?,Yes,23819.3927,0.225,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,RKS Raków Częstochowa vs. Valletta FC: O/U 3.5,Over,9079.2277,0.425,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Spread: FK Rīgas Futbola Skola (-2.5),FK Rīgas Futbola Skola,3256.9899,0.9695,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Kansas City Current win on 2026-07-25?,Yes,7486.9127,0.405,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FK Austria Wien win on 2026-07-23?,Yes,2871.5277,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Hammarby Fotboll vs. RSC Anderlecht: O/U 2.5,Under,5463.1116,0.515,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Orlando Pride win on 2026-07-24?,Yes,3866.3576,0.65,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,FK Dynamo Kyiv vs. PAOK: O/U 4.5,Under,4104.8708,0.535,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FCSB win on 2026-07-23?,Yes,3754.3302,0.525,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will NK Bravo win on 2026-07-23?,No,3306.8021,0.5649,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will AEK Lárnakas win on 2026-07-23?,No,1576.0971,0.99,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Hamburg European Open: Elina Avanesyan vs Yulia Putintseva,Elina Avanesyan,1339.8178,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Shelbourne FC win on 2026-07-23?,Yes,1923.7837,0.675,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,FC Sheriff Tiraspol vs. MH Maccabi Tel Aviv: O/U 2.5,Over,1509.1007,0.8149,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will ÍF Vestri win on 2026-07-23?,No,1203.75,0.995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Alashkert FA win on 2026-07-23?,No,1141.3026,0.9995,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,América FC vs. Goiás EC: O/U 2.5,Under,1671.0563,0.68,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,CF Montréal vs. Inter Miami CF: O/U 3.5,Over,2256.0652,0.465,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will CS Huancayo win on 2026-07-25?,Yes,1683.5087,0.585,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Yunnan Yukun FC vs. Shenzhen Xinpengcheng FC: O/U 5.5,Under,1126.0689,0.855,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Spread: SK Rapid Wien (-2.5),FC Santa Coloma,1074.1029,0.87,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Counter-Strike: Heroic vs FOKUS (BO3) - StarLadder StarSerie,Heroic,922.1897,0.915,50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Club Alianza Atlético win on 2026-07-24?,Yes,1521.3725,0.545,50.0
