capture,asset,rest_price,dist_from_mid,queue_ahead,consumed,filled,secs_to_fill,markout_5s,markout_30s,markout_300s
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,11.1,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,11.1,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,11.1,0.007,0.007,0.0065
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,414.3,0.01,0.01,
224929.jsonl.gz,5775223447809780,0.994,0.006,0.0,193.0,1,25.2,0.006,0.006,
224929.jsonl.gz,3523185360721264,0.98,0.04,1970.1,2545.1,1,56.4,0.04,0.04,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,396.7,0.01,0.01,
224929.jsonl.gz,3523185360721264,0.98,0.04,1970.0,2500.0,1,43.0,0.04,0.04,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,361.0,1,21.3,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,100.0,200.0,1,36.7,0.007,0.0065,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,39.8,0.005,,
224929.jsonl.gz,6840002209357316,0.78,0.01,0.0,594.0,1,104.9,0.01,0.01,
224929.jsonl.gz,3523185360721264,0.98,0.04,1470.0,2000.0,1,52.1,0.04,0.04,
224929.jsonl.gz,9718603078560812,0.01,0.0005,133049.5,0.0,0,,,,
224929.jsonl.gz,6377725888023396,0.1,0.005,6402.2,75.0,0,,,,
224929.jsonl.gz,1396280659352613,0.24,0.01,1383.4,1383.4,0,,,,
224929.jsonl.gz,3804724364027599,0.045,0.008,303.0,303.0,0,,,,
224929.jsonl.gz,8022971310749160,0.011,0.0005,604.0,0.0,0,,,,
224929.jsonl.gz,9076837713448521,0.37,0.005,594.0,594.0,0,,,,
224929.jsonl.gz,3519854948656960,0.3,0.01,2520.2,1789.3,0,,,,
224929.jsonl.gz,7473907490958467,0.085,0.0065,2834.8,0.0,0,,,,
224929.jsonl.gz,6384252906871000,0.6,0.005,124904.8,26345.3,0,,,,
224929.jsonl.gz,1022706502257978,0.013,0.0005,811.8,0.0,0,,,,
224929.jsonl.gz,2963382670171355,0.72,0.01,8345.4,205.0,0,,,,
224929.jsonl.gz,5615282760875985,0.39,0.005,39591.7,18345.9,0,,,,
224929.jsonl.gz,1122417510711743,0.01,0.002,594.0,300.0,0,,,,
224929.jsonl.gz,2955576282086664,0.22,0.005,16.0,112.0,0,,,,
224929.jsonl.gz,2148337392909064,0.013,0.004,15.2,0.0,0,,,,
224929.jsonl.gz,5552468961200544,0.14,0.01,1125.0,971.0,0,,,,
224929.jsonl.gz,5774813808502271,0.021,0.0005,23975.4,0.0,0,,,,
224929.jsonl.gz,7045929632587188,0.23,0.005,1591.8,0.0,0,,,,
224929.jsonl.gz,3704650953639515,0.025,0.0025,83.0,83.0,0,,,,
224929.jsonl.gz,8891292653349398,0.016,0.0005,2647.9,0.0,0,,,,
224929.jsonl.gz,1825839575504139,0.003,0.0005,4908.6,1000.0,0,,,,
224929.jsonl.gz,9436872649120984,0.02,0.0005,1816.0,0.0,0,,,,
224929.jsonl.gz,8890297437819588,0.67,0.015,7.0,21.0,0,,,,
224929.jsonl.gz,2853789823298506,0.008,0.0035,129.4,0.0,0,,,,
224929.jsonl.gz,5855900748190859,0.012,0.0005,1945.0,0.0,0,,,,
224929.jsonl.gz,1064932851422783,0.927,0.0005,2.5,0.0,0,,,,
224929.jsonl.gz,1083024546070811,0.018,0.0025,1565.0,0.0,0,,,,
224929.jsonl.gz,6309330581531068,0.969,0.0035,0.0,100.0,1,614.8,,,
224929.jsonl.gz,9705092174041619,0.63,0.01,142886.0,6015.0,0,,,,
224929.jsonl.gz,2881957189963819,0.42,0.01,211749.8,2829.0,0,,,,
224929.jsonl.gz,8021972217434945,0.93,0.2,471.4,257.1,0,,,,
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,91.0,0.01,0.01,0.01
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,60.4,0.01,0.01,0.01
224929.jsonl.gz,6840002209357316,0.78,0.01,594.0,975.0,1,30.3,0.01,0.01,0.01
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,424.1,0.01,0.015,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,212.4,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,182.3,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,152.3,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,122.0,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,91.6,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,61.0,0.005,0.005,
224929.jsonl.gz,3798474306659077,0.79,0.005,100.0,200.0,1,30.8,,,
224929.jsonl.gz,6824515892885346,0.64,0.005,530.0,977.0,1,30.9,0.005,0.005,
224929.jsonl.gz,6824515892885346,0.64,0.005,0.0,447.0,1,0.9,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.007,116.0,250.0,1,31.9,0.0065,0.0065,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,835.0,1,395.2,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,835.0,1,365.1,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,835.0,1,334.0,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,835.0,1,303.9,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,273.5,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,243.5,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,213.4,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,183.4,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,153.3,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,830.0,1,123.1,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,451.0,825.0,1,92.7,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,825.0,1,62.1,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,825.0,1,31.9,,,
224929.jsonl.gz,8374818003753435,0.33,0.005,456.0,825.0,1,1.9,,,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,93.0,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,62.4,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,32.3,0.158,0.158,
224929.jsonl.gz,9277048309813507,0.926,0.158,0.0,594.0,1,2.2,0.158,0.158,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,33.6,0.005,0.005,
224929.jsonl.gz,1102656942679369,0.72,0.005,116.4,250.0,1,6.3,0.005,0.005,
224929.jsonl.gz,9350237091720620,0.074,0.0065,116.0,250.0,1,6.5,0.0065,0.0065,
224929.jsonl.gz,7949989425384192,0.3,0.01,5098.3,5200.0,1,401.8,0.01,0.015,
224929.jsonl.gz,6309330581531068,0.969,0.003,0.0,100.0,1,583.8,0.003,0.003,
